province_id,province_vi,region,region_id,year,D1,D2,D3,D4,D5,D6,D7,D8,total_papi,total_papi_6dim,total_official,n_dims,rank_year,tier
38,Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,5.06227,4.641479,5.522005,5.131741,7.062998,6.923033,,,34.343525,34.343525,,6,47,TB thấp
39,Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,3,2011,4.320866,4.881819,5.43684,5.817658,6.65764,6.482713,,,33.597534,33.597534,,6,56,Thấp nhất
40,Kon Tum,Tây Nguyên,4,2011,5.259974,5.163684,5.63341,5.333369,7.148442,6.737861,,,35.27674,35.276737,,6,37,TB thấp
41,Gia Lai,Tây Nguyên,4,2011,5.474282,6.002263,5.435134,5.65083,7.084662,6.317464,,,35.964638,35.964634,,6,24,TB cao
42,Đắk Lắk,Tây Nguyên,4,2011,5.098397,5.801748,5.532555,5.028733,7.00809,6.572452,,,35.041977,35.041973,,6,42,TB thấp
43,Đắk Nông,Tây Nguyên,4,2011,5.725976,5.892358,5.553295,5.75058,7.1993,5.680825,,,35.802334,35.802334,,6,27,TB cao
44,Lâm Đồng,Tây Nguyên,4,2011,5.251161,4.603978,5.531252,5.025381,7.174689,6.630703,,,34.217163,34.217163,,6,50,Thấp nhất
45,Bình Phước,Đông Nam Bộ,5,2011,5.433785,6.020853,5.847684,5.512823,7.129824,5.919043,,,35.86401,35.864014,,6,25,TB cao
46,Tây Ninh,Đông Nam Bộ,5,2011,4.403107,4.626924,5.189391,5.24101,6.715736,6.366068,,,32.542236,32.542236,,6,60,Thấp nhất
47,Bình Dương,Đông Nam Bộ,5,2011,5.083646,5.475698,5.385574,7.183592,7.146326,6.854453,,,37.129288,37.129288,,6,15,Cao nhất
48,Đồng Nai,Đông Nam Bộ,5,2011,5.457825,5.387383,5.144117,5.865746,7.144776,6.660327,,,35.660175,35.66017,,6,32,TB thấp
49,Bà Rịa - Vũng Tàu,Đông Nam Bộ,5,2011,5.96322,6.849039,5.53126,6.890491,7.427681,7.292699,,,39.95439,39.954388,,6,2,Cao nhất
50,Hồ Chí Minh,Đông Nam Bộ,5,2011,5.143024,6.005712,5.240344,6.147952,7.080636,7.148072,,,36.76574,36.76574,,6,18,TB cao
51,Long An,Đồng bằng sông Cửu Long,6,2011,5.769613,6.149002,6.257419,7.360318,7.185021,7.116402,,,39.837776,39.837776,,6,3,Cao nhất
52,Tiền Giang,Đồng bằng sông Cửu Long,6,2011,5.734218,5.888436,5.78971,6.873276,6.924706,6.459263,,,37.66961,37.66961,,6,10,Cao nhất
53,Bến Tre,Đồng bằng sông Cửu Long,6,2011,5.787479,5.931097,5.121816,6.52783,6.802374,6.955378,,,37.125977,37.125977,,6,16,Cao nhất
54,Trà Vinh,Đồng bằng sông Cửu Long,6,2011,4.687884,4.435356,5.110535,4.924287,6.359602,6.409603,,,31.927267,31.927267,,6,63,Thấp nhất
55,Vĩnh Long,Đồng bằng sông Cửu Long,6,2011,5.242749,5.080515,5.395402,5.997477,7.075324,7.01311,,,35.80458,35.804577,,6,26,TB cao
56,Đồng Tháp,Đồng bằng sông Cửu Long,6,2011,5.182785,5.476338,5.941434,6.760653,7.194096,6.666285,,,37.221592,37.22159,,6,14,Cao nhất
57,An Giang,Đồng bằng sông Cửu Long,6,2011,4.869586,4.958939,4.735237,5.540307,6.467561,6.805312,,,33.37694,33.37694,,6,58,Thấp nhất
58,Kiên Giang,Đồng bằng sông Cửu Long,6,2011,5.09196,4.767159,5.290498,5.737898,6.866744,6.994224,,,34.74848,34.748486,,6,45,TB thấp
59,Cần Thơ,Đồng bằng sông Cửu Long,6,2011,5.716923,5.490738,5.547006,5.951178,6.353442,6.550245,,,35.60953,35.60953,,6,33,TB thấp
60,Hậu Giang,Đồng bằng sông Cửu Long,6,2011,4.969893,4.789634,5.271314,5.765605,6.786561,6.715853,,,34.29886,34.298862,,6,48,Thấp nhất
61,Sóc Trăng,Đồng bằng sông Cửu Long,6,2011,4.899919,4.922166,5.152213,6.944393,6.575285,6.635262,,,35.129234,35.12924,,6,40,TB thấp
62,Bạc Liêu,Đồng bằng sông Cửu Long,6,2011,4.637381,4.674524,5.063324,6.301612,6.858888,6.744656,,,34.280388,34.280388,,6,49,Thấp nhất
63,Cà Mau,Đồng bằng sông Cửu Long,6,2011,4.812378,5.456194,5.180061,6.861135,6.847742,6.320277,,,35.477787,35.477787,,6,35,TB thấp
1,Hà Giang,Trung du và miền núi phía Bắc,1,2012,5.279693,5.664689,5.465209,5.516757,6.674441,6.808666,,,35.409454,35.409454,,6,47,TB thấp
2,Cao Bằng,Trung du và miền núi phía Bắc,1,2012,5.540246,6.279766,5.523517,4.745146,6.864997,6.387956,,,35.34163,35.341625,,6,48,Thấp nhất
3,Bắc Kạn,Trung du và miền núi phía Bắc,1,2012,5.607619,5.774017,6.238062,6.537386,7.113933,6.769415,,,38.040432,38.040432,,6,10,Cao nhất
4,Tuyên Quang,Trung du và miền núi phía Bắc,1,2012,5.039843,5.676058,5.591772,6.09765,6.987677,6.79082,,,36.183823,36.18382,,6,40,TB thấp
5,Lào Cai,Trung du và miền núi phía Bắc,1,2012,5.959269,5.912377,5.987919,5.622889,7.468852,6.518858,,,37.47016,37.47016,,6,19,TB cao
6,Yên Bái,Trung du và miền núi phía Bắc,1,2012,5.504867,5.702175,5.438413,5.070926,7.554765,6.316918,,,35.588066,35.588066,,6,45,TB thấp
7,Thái Nguyên,Trung du và miền núi phía Bắc,1,2012,5.557717,6.042024,5.793701,5.418146,7.020188,6.654637,,,36.486412,36.486412,,6,34,TB thấp
8,Lạng Sơn,Trung du và miền núi phía Bắc,1,2012,5.064154,6.069649,6.30327,6.30878,7.017749,7.002706,,,37.766308,37.766308,,6,14,Cao nhất
9,Bắc Giang,Trung du và miền núi phía Bắc,1,2012,5.736254,5.477664,5.379006,6.254153,6.783223,6.581217,,,36.211517,36.211517,,6,39,TB thấp
10,Phú Thọ,Trung du và miền núi phía Bắc,1,2012,5.915255,6.113678,5.883438,6.431537,7.226393,6.588862,,,38.159164,38.159164,,6,9,Cao nhất
11,Điện Biên,Trung du và miền núi phía Bắc,1,2012,4.589823,5.854285,5.205552,4.238368,7.155191,6.763395,,,33.806614,33.806614,,6,57,Thấp nhất
12,Lai Châu,Trung du và miền núi phía Bắc,1,2012,4.562452,5.313558,5.292583,4.67022,6.362981,6.867343,,,33.069138,33.069138,,6,61,Thấp nhất
13,Sơn La,Trung du và miền núi phía Bắc,1,2012,5.272914,5.901819,6.152543,6.370084,7.067453,6.433158,,,37.19797,37.19797,,6,21,TB cao
14,Hòa Bình,Trung du và miền núi phía Bắc,1,2012,5.550831,5.82835,5.552064,5.851812,6.931631,6.850189,,,36.564877,36.564877,,6,33,TB thấp
15,Hà Nội,Đồng bằng sông Hồng,2,2012,5.506642,6.262991,6.057058,5.178477,6.86754,7.020477,,,36.893185,36.893185,,6,26,TB cao
16,Vĩnh Phúc,Đồng bằng sông Hồng,2,2012,5.457811,5.717434,5.867685,6.135661,7.030745,6.794108,,,37.003445,37.003445,,6,24,TB cao
17,Bắc Ninh,Đồng bằng sông Hồng,2,2012,5.723071,5.11617,5.3582,5.622058,6.577559,6.917044,,,35.314102,35.314102,,6,49,Thấp nhất
18,Quảng Ninh,Đồng bằng sông Hồng,2,2012,5.408504,5.89886,5.979188,5.430783,6.282346,6.509588,,,35.50927,35.509266,,6,46,TB thấp
19,Hải Dương,Đồng bằng sông Hồng,2,2012,5.433835,5.591466,6.776677,5.794068,6.990969,7.143447,,,37.73046,37.73046,,6,15,Cao nhất
20,Hải Phòng,Đồng bằng sông Hồng,2,2012,5.364292,6.136301,5.379041,4.832838,7.316046,7.439088,,,36.467606,36.467606,,6,35,TB thấp
21,Hưng Yên,Đồng bằng sông Hồng,2,2012,5.598649,5.786267,5.868378,5.794444,6.721897,6.815145,,,36.58478,36.584778,,6,32,TB thấp
22,Thái Bình,Đồng bằng sông Hồng,2,2012,6.120409,6.771593,6.96244,6.138117,7.098068,6.882005,,,39.972633,39.972633,,6,2,Cao nhất
23,Hà Nam,Đồng bằng sông Hồng,2,2012,5.988501,6.724512,6.382612,6.490642,7.121209,6.608832,,,39.316307,39.31631,,6,7,Cao nhất
24,Nam Định,Đồng bằng sông Hồng,2,2012,5.399093,6.676195,6.564913,6.2127,7.21166,7.33072,,,39.39528,39.39528,,6,5,Cao nhất
25,Ninh Bình,Đồng bằng sông Hồng,2,2012,4.916965,5.631872,5.460443,6.082438,7.109926,6.778338,,,35.97998,35.979984,,6,41,TB thấp
26,Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.389802,6.092532,5.629329,5.905036,7.248003,7.025909,,,37.29061,37.29061,,6,20,TB cao
27,Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.487162,6.131847,6.150769,5.785789,7.024158,6.553382,,,37.133106,37.13311,,6,22,TB cao
28,Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.965005,6.182355,5.999191,5.870663,7.129248,6.545905,,,37.692368,37.692368,,6,16,Cao nhất
29,Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.70824,6.948932,6.886974,6.059259,7.444731,7.572349,,,40.620483,40.620487,,6,1,Cao nhất
30,Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.174848,6.877017,6.417126,6.691759,7.029386,7.155606,,,39.34574,39.34574,,6,6,Cao nhất
31,Thừa Thiên Huế,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.148741,5.658504,5.53533,6.115899,7.337197,7.04531,,,36.84098,36.84098,,6,28,TB cao
32,Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.466084,6.104527,6.035883,6.822308,7.470115,7.650003,,,39.54892,39.54892,,6,4,Cao nhất
33,Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.531788,5.821253,5.686777,6.50798,7.006399,6.955315,,,37.509514,37.509514,,6,17,TB cao
34,Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,5.204063,5.990557,5.747117,5.839599,6.855974,6.586078,,,36.22339,36.22339,,6,38,TB thấp
35,Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,6.18833,6.116506,6.300311,6.985969,7.111078,7.110175,,,39.81237,39.81237,,6,3,Cao nhất
36,Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,4.536886,6.0729,5.589923,6.285729,6.634672,6.681214,,,35.801323,35.801323,,6,43,TB thấp
37,Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,4.634271,4.980999,4.670515,4.491018,6.426911,6.627596,,,31.83131,31.83131,,6,63,Thấp nhất
38,Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,4.986203,5.230573,5.314352,4.707213,6.767073,7.334046,,,34.33946,34.33946,,6,52,Thấp nhất
39,Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,3,2012,4.975924,4.582405,5.458621,5.973555,6.87361,6.988561,,,34.852676,34.852676,,6,51,Thấp nhất
40,Kon Tum,Tây Nguyên,4,2012,5.337486,5.68741,5.698249,5.183984,7.414637,6.940522,,,36.262287,36.262287,,6,37,TB thấp
41,Gia Lai,Tây Nguyên,4,2012,5.264595,6.12428,5.857416,6.100203,7.253346,6.268966,,,36.868805,36.868805,,6,27,TB cao
42,Đắk Lắk,Tây Nguyên,4,2012,4.174857,4.92061,5.467312,5.177449,7.022571,6.69382,,,33.45662,33.45662,,6,59,Thấp nhất
43,Đắk Nông,Tây Nguyên,4,2012,5.511321,5.670475,5.74481,5.461699,7.310357,5.953362,,,35.652023,35.652023,,6,44,TB thấp
44,Lâm Đồng,Tây Nguyên,4,2012,5.560361,5.564467,5.603383,5.943358,7.12451,6.993646,,,36.789726,36.789722,,6,29,TB cao
45,Bình Phước,Đông Nam Bộ,5,2012,6.034218,6.551477,6.307601,6.083885,6.896664,6.373647,,,38.24749,38.24749,,6,8,Cao nhất
46,Tây Ninh,Đông Nam Bộ,5,2012,5.115296,5.209766,5.110436,6.036859,6.658721,5.915785,,,34.046864,34.04686,,6,54,Thấp nhất
47,Bình Dương,Đông Nam Bộ,5,2012,5.506535,6.184144,5.427299,6.413208,6.71676,7.242423,,,37.49037,37.49037,,6,18,TB cao
48,Đồng Nai,Đông Nam Bộ,5,2012,4.729096,5.002157,5.135239,5.440953,6.743308,6.92019,,,33.970943,33.97094,,6,55,Thấp nhất
49,Bà Rịa - Vũng Tàu,Đông Nam Bộ,5,2012,5.167522,6.668087,5.716091,6.527493,6.566987,7.269868,,,37.916046,37.916046,,6,13,Cao nhất
50,Hồ Chí Minh,Đông Nam Bộ,5,2012,4.742527,5.798257,5.144074,6.367458,7.075529,7.517297,,,36.64514,36.64514,,6,31,TB cao
51,Long An,Đồng bằng sông Cửu Long,6,2012,4.944427,6.423769,5.756987,6.860387,6.950576,7.008876,,,37.945023,37.945023,,6,12,Cao nhất
52,Tiền Giang,Đồng bằng sông Cửu Long,6,2012,5.327354,5.528656,5.202159,7.176839,7.126012,6.740596,,,37.101616,37.101616,,6,23,TB cao
53,Bến Tre,Đồng bằng sông Cửu Long,6,2012,5.285373,5.805714,5.442789,6.546582,6.917214,6.958375,,,36.956047,36.956047,,6,25,TB cao
54,Trà Vinh,Đồng bằng sông Cửu Long,6,2012,5.330583,4.559778,5.247579,5.70197,6.930822,6.560279,,,34.33101,34.331013,,6,53,Thấp nhất
55,Vĩnh Long,Đồng bằng sông Cửu Long,6,2012,5.380659,5.722248,5.825734,6.557142,7.270749,7.234171,,,37.990704,37.990707,,6,11,Cao nhất
56,Đồng Tháp,Đồng bằng sông Cửu Long,6,2012,4.343835,5.309925,5.624056,6.173401,7.070961,6.673457,,,35.195637,35.195637,,6,50,Thấp nhất
57,An Giang,Đồng bằng sông Cửu Long,6,2012,4.691073,5.076869,5.02952,5.419241,6.538087,6.869814,,,33.624603,33.624603,,6,58,Thấp nhất
58,Kiên Giang,Đồng bằng sông Cửu Long,6,2012,5.011768,4.776906,4.417272,5.146751,6.642651,7.041935,,,33.03728,33.037285,,6,62,Thấp nhất
59,Cần Thơ,Đồng bằng sông Cửu Long,6,2012,5.814761,5.453095,5.652103,6.21728,6.851487,6.766375,,,36.755104,36.755104,,6,30,TB cao
60,Hậu Giang,Đồng bằng sông Cửu Long,6,2012,4.951166,5.546455,5.76894,6.41671,6.810816,6.935107,,,36.429195,36.429195,,6,36,TB thấp
61,Sóc Trăng,Đồng bằng sông Cửu Long,6,2012,4.578633,5.200961,5.916937,7.0054,6.424181,6.74466,,,35.870773,35.870773,,6,42,TB thấp
62,Bạc Liêu,Đồng bằng sông Cửu Long,6,2012,4.542979,4.655468,4.740825,5.621454,6.8063,6.984996,,,33.35202,33.352024,,6,60,Thấp nhất
63,Cà Mau,Đồng bằng sông Cửu Long,6,2012,4.551349,5.046576,5.337072,6.17285,6.578232,6.134304,,,33.82038,33.82038,,6,56,Thấp nhất
1,Hà Giang,Trung du và miền núi phía Bắc,1,2013,5.108392,5.22986,4.967155,5.170728,7.266743,6.471526,,,34.214405,34.214405,,6,60,Thấp nhất
2,Cao Bằng,Trung du và miền núi phía Bắc,1,2013,5.182518,6.02566,5.268156,6.05101,6.601561,6.418707,,,35.54761,35.54761,,6,45,TB thấp
3,Bắc Kạn,Trung du và miền núi phía Bắc,1,2013,5.386935,6.07093,5.583058,6.414939,7.269672,6.6983,,,37.423836,37.423832,,6,24,TB cao
4,Tuyên Quang,Trung du và miền núi phía Bắc,1,2013,5.573787,6.26209,6.032667,6.159425,7.22683,6.78675,,,38.04155,38.04155,,6,13,Cao nhất
5,Lào Cai,Trung du và miền núi phía Bắc,1,2013,5.108504,5.346524,4.821747,5.487986,6.857337,6.775338,,,34.397434,34.397434,,6,59,Thấp nhất
6,Yên Bái,Trung du và miền núi phía Bắc,1,2013,5.709529,6.047609,5.955606,6.315381,7.153278,6.409137,,,37.590538,37.59054,,6,21,TB cao
7,Thái Nguyên,Trung du và miền núi phía Bắc,1,2013,5.571805,6.539973,6.098966,6.073101,6.636068,6.52725,,,37.447163,37.447163,,6,23,TB cao
8,Lạng Sơn,Trung du và miền núi phía Bắc,1,2013,5.43272,6.294604,5.758984,6.39175,6.748682,7.168305,,,37.795044,37.795044,,6,17,TB cao
9,Bắc Giang,Trung du và miền núi phía Bắc,1,2013,4.648251,4.883765,4.627284,4.677617,6.391128,6.559813,,,31.787859,31.787859,,6,63,Thấp nhất
10,Phú Thọ,Trung du và miền núi phía Bắc,1,2013,5.168999,5.826718,5.934596,6.290534,7.080192,6.459391,,,36.76043,36.760433,,6,35,TB thấp
11,Điện Biên,Trung du và miền núi phía Bắc,1,2013,4.67222,5.795008,5.688387,5.97313,7.054165,6.75497,,,35.93788,35.93788,,6,42,TB thấp
12,Lai Châu,Trung du và miền núi phía Bắc,1,2013,4.322599,5.231833,4.938347,4.987067,6.668658,6.753081,,,32.901585,32.901585,,6,62,Thấp nhất
13,Sơn La,Trung du và miền núi phía Bắc,1,2013,5.573081,5.416489,6.172488,6.380521,7.22359,6.352757,,,37.118927,37.118927,,6,30,TB cao
14,Hòa Bình,Trung du và miền núi phía Bắc,1,2013,5.44542,5.900589,6.132254,5.706917,7.24229,7.195291,,,37.62276,37.62276,,6,20,TB cao
15,Hà Nội,Đồng bằng sông Hồng,2,2013,5.45678,6.329407,5.943764,5.640414,6.846432,6.945865,,,37.162663,37.162663,,6,28,TB cao
16,Vĩnh Phúc,Đồng bằng sông Hồng,2,2013,5.264643,5.939771,6.727475,5.706765,7.255759,6.869059,,,37.763474,37.76347,,6,18,TB cao
17,Bắc Ninh,Đồng bằng sông Hồng,2,2013,5.088111,5.849444,6.111093,5.907283,6.74481,7.228134,,,36.928875,36.92888,,6,33,TB thấp
18,Quảng Ninh,Đồng bằng sông Hồng,2,2013,4.54986,5.476605,5.50957,5.349509,6.322154,6.685469,,,33.893166,33.89317,,6,61,Thấp nhất
19,Hải Dương,Đồng bằng sông Hồng,2,2013,5.936472,6.345593,6.830314,6.078991,6.962264,6.862063,,,39.015697,39.015697,,6,7,Cao nhất
20,Hải Phòng,Đồng bằng sông Hồng,2,2013,4.723511,6.061895,5.178742,5.235758,6.846126,7.43018,,,35.47621,35.47621,,6,48,Thấp nhất
21,Hưng Yên,Đồng bằng sông Hồng,2,2013,5.417231,5.998728,5.635862,5.789735,6.67505,7.246616,,,36.76322,36.76322,,6,34,TB thấp
22,Thái Bình,Đồng bằng sông Hồng,2,2013,6.043607,6.354749,7.151485,5.669296,7.211536,6.881163,,,39.311836,39.311836,,6,4,Cao nhất
23,Hà Nam,Đồng bằng sông Hồng,2,2013,5.631222,6.096126,6.113694,5.822727,7.179103,6.312998,,,37.15587,37.15587,,6,29,TB cao
24,Nam Định,Đồng bằng sông Hồng,2,2013,5.024486,6.396187,6.074957,6.267573,7.565309,7.192498,,,38.52101,38.52101,,6,10,Cao nhất
25,Ninh Bình,Đồng bằng sông Hồng,2,2013,5.335857,5.465869,4.987593,5.60833,7.120852,6.701037,,,35.219536,35.219536,,6,51,Thấp nhất
26,Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.594298,6.606818,5.969592,6.918564,6.725555,6.81645,,,38.63128,38.63128,,6,9,Cao nhất
27,Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.205329,5.77254,5.869501,5.766767,7.219819,6.632232,,,36.466187,36.46619,,6,37,TB thấp
28,Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.792954,6.250058,6.819525,6.344786,7.514029,6.571324,,,39.292675,39.292675,,6,5,Cao nhất
29,Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,6.475642,6.873847,6.823332,6.443473,7.569044,7.533407,,,41.718746,41.71875,,6,1,Cao nhất
30,Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.521946,6.570016,6.632721,6.116329,7.789495,7.118277,,,39.748783,39.748783,,6,2,Cao nhất
31,Thừa Thiên Huế,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.169472,6.073458,5.280302,5.821513,6.72361,7.288333,,,36.35669,36.35669,,6,38,TB thấp
32,Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.229287,6.669121,5.941721,6.334148,7.515488,7.374146,,,39.06391,39.06391,,6,6,Cao nhất
33,Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.81443,6.01166,5.843115,6.380849,6.784387,6.966125,,,37.800564,37.800564,,6,16,Cao nhất
34,Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.378279,5.774514,5.531539,5.34068,6.248955,6.79537,,,35.069336,35.069336,,6,52,Thấp nhất
35,Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.594021,6.030983,5.666899,6.501791,7.078212,7.326274,,,38.19818,38.19818,,6,12,Cao nhất
36,Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,3,2013,5.093759,5.577791,5.83679,6.290004,6.73263,6.610305,,,36.141277,36.141277,,6,41,TB thấp
