province_id,year,code,score
63,2011,D2,5.456194
63,2011,D3,5.180061
63,2011,D4,6.861135
63,2011,D5,6.847742
63,2011,D6,6.320277
1,2012,D1,5.279693
1,2012,D2,5.664689
1,2012,D3,5.465209
1,2012,D4,5.516757
1,2012,D5,6.674441
1,2012,D6,6.808666
2,2012,D1,5.540246
2,2012,D2,6.279766
2,2012,D3,5.523517
2,2012,D4,4.745146
2,2012,D5,6.864997
2,2012,D6,6.387956
3,2012,D1,5.607619
3,2012,D2,5.774017
3,2012,D3,6.238062
3,2012,D4,6.537386
3,2012,D5,7.113933
3,2012,D6,6.769415
4,2012,D1,5.039843
4,2012,D2,5.676058
4,2012,D3,5.591772
4,2012,D4,6.09765
4,2012,D5,6.987677
4,2012,D6,6.79082
5,2012,D1,5.959269
5,2012,D2,5.912377
5,2012,D3,5.987919
5,2012,D4,5.622889
5,2012,D5,7.468852
5,2012,D6,6.518858
6,2012,D1,5.504867
6,2012,D2,5.702175
6,2012,D3,5.438413
6,2012,D4,5.070926
6,2012,D5,7.554765
6,2012,D6,6.316918
7,2012,D1,5.557717
7,2012,D2,6.042024
7,2012,D3,5.793701
7,2012,D4,5.418146
7,2012,D5,7.020188
7,2012,D6,6.654637
8,2012,D1,5.064154
8,2012,D2,6.069649
8,2012,D3,6.30327
8,2012,D4,6.30878
8,2012,D5,7.017749
8,2012,D6,7.002706
9,2012,D1,5.736254
9,2012,D2,5.477664
9,2012,D3,5.379006
9,2012,D4,6.254153
9,2012,D5,6.783223
9,2012,D6,6.581217
10,2012,D1,5.915255
10,2012,D2,6.113678
10,2012,D3,5.883438
10,2012,D4,6.431537
10,2012,D5,7.226393
10,2012,D6,6.588862
11,2012,D1,4.589823
11,2012,D2,5.854285
11,2012,D3,5.205552
11,2012,D4,4.238368
11,2012,D5,7.155191
11,2012,D6,6.763395
12,2012,D1,4.562452
12,2012,D2,5.313558
12,2012,D3,5.292583
12,2012,D4,4.67022
12,2012,D5,6.362981
12,2012,D6,6.867343
13,2012,D1,5.272914
13,2012,D2,5.901819
13,2012,D3,6.152543
13,2012,D4,6.370084
13,2012,D5,7.067453
13,2012,D6,6.433158
14,2012,D1,5.550831
14,2012,D2,5.82835
14,2012,D3,5.552064
14,2012,D4,5.851812
14,2012,D5,6.931631
14,2012,D6,6.850189
15,2012,D1,5.506642
15,2012,D2,6.262991
15,2012,D3,6.057058
15,2012,D4,5.178477
15,2012,D5,6.86754
15,2012,D6,7.020477
16,2012,D1,5.457811
16,2012,D2,5.717434
16,2012,D3,5.867685
16,2012,D4,6.135661
16,2012,D5,7.030745
16,2012,D6,6.794108
17,2012,D1,5.723071
17,2012,D2,5.11617
17,2012,D3,5.3582
17,2012,D4,5.622058
17,2012,D5,6.577559
17,2012,D6,6.917044
18,2012,D1,5.408504
18,2012,D2,5.89886
18,2012,D3,5.979188
18,2012,D4,5.430783
18,2012,D5,6.282346
18,2012,D6,6.509588
19,2012,D1,5.433835
19,2012,D2,5.591466
19,2012,D3,6.776677
19,2012,D4,5.794068
19,2012,D5,6.990969
19,2012,D6,7.143447
20,2012,D1,5.364292
20,2012,D2,6.136301
20,2012,D3,5.379041
20,2012,D4,4.832838
20,2012,D5,7.316046
20,2012,D6,7.439088
21,2012,D1,5.598649
21,2012,D2,5.786267
21,2012,D3,5.868378
21,2012,D4,5.794444
21,2012,D5,6.721897
21,2012,D6,6.815145
22,2012,D1,6.120409
22,2012,D2,6.771593
22,2012,D3,6.96244
22,2012,D4,6.138117
22,2012,D5,7.098068
22,2012,D6,6.882005
23,2012,D1,5.988501
23,2012,D2,6.724512
23,2012,D3,6.382612
23,2012,D4,6.490642
23,2012,D5,7.121209
23,2012,D6,6.608832
24,2012,D1,5.399093
24,2012,D2,6.676195
24,2012,D3,6.564913
24,2012,D4,6.2127
24,2012,D5,7.21166
24,2012,D6,7.33072
25,2012,D1,4.916965
25,2012,D2,5.631872
25,2012,D3,5.460443
25,2012,D4,6.082438
25,2012,D5,7.109926
25,2012,D6,6.778338
26,2012,D1,5.389802
26,2012,D2,6.092532
26,2012,D3,5.629329
26,2012,D4,5.905036
26,2012,D5,7.248003
26,2012,D6,7.025909
27,2012,D1,5.487162
27,2012,D2,6.131847
27,2012,D3,6.150769
27,2012,D4,5.785789
27,2012,D5,7.024158
27,2012,D6,6.553382
28,2012,D1,5.965005
28,2012,D2,6.182355
28,2012,D3,5.999191
28,2012,D4,5.870663
28,2012,D5,7.129248
28,2012,D6,6.545905
29,2012,D1,5.70824
29,2012,D2,6.948932
29,2012,D3,6.886974
29,2012,D4,6.059259
29,2012,D5,7.444731
29,2012,D6,7.572349
30,2012,D1,5.174848
30,2012,D2,6.877017
30,2012,D3,6.417126
30,2012,D4,6.691759
30,2012,D5,7.029386
30,2012,D6,7.155606
31,2012,D1,5.148741
31,2012,D2,5.658504
31,2012,D3,5.53533
31,2012,D4,6.115899
31,2012,D5,7.337197
31,2012,D6,7.04531
32,2012,D1,5.466084
32,2012,D2,6.104527
32,2012,D3,6.035883
32,2012,D4,6.822308
32,2012,D5,7.470115
32,2012,D6,7.650003
33,2012,D1,5.531788
33,2012,D2,5.821253
33,2012,D3,5.686777
33,2012,D4,6.50798
33,2012,D5,7.006399
33,2012,D6,6.955315
34,2012,D1,5.204063
34,2012,D2,5.990557
34,2012,D3,5.747117
34,2012,D4,5.839599
34,2012,D5,6.855974
34,2012,D6,6.586078
35,2012,D1,6.18833
35,2012,D2,6.116506
35,2012,D3,6.300311
35,2012,D4,6.985969
35,2012,D5,7.111078
35,2012,D6,7.110175
36,2012,D1,4.536886
36,2012,D2,6.0729
36,2012,D3,5.589923
36,2012,D4,6.285729
36,2012,D5,6.634672
36,2012,D6,6.681214
37,2012,D1,4.634271
37,2012,D2,4.980999
37,2012,D3,4.670515
37,2012,D4,4.491018
37,2012,D5,6.426911
37,2012,D6,6.627596
38,2012,D1,4.986203
38,2012,D2,5.230573
38,2012,D3,5.314352
38,2012,D4,4.707213
38,2012,D5,6.767073
38,2012,D6,7.334046
39,2012,D1,4.975924
39,2012,D2,4.582405
39,2012,D3,5.458621
39,2012,D4,5.973555
39,2012,D5,6.87361
39,2012,D6,6.988561
40,2012,D1,5.337486
40,2012,D2,5.68741
40,2012,D3,5.698249
40,2012,D4,5.183984
40,2012,D5,7.414637
40,2012,D6,6.940522
41,2012,D1,5.264595
41,2012,D2,6.12428
41,2012,D3,5.857416
41,2012,D4,6.100203
41,2012,D5,7.253346
41,2012,D6,6.268966
42,2012,D1,4.174857
42,2012,D2,4.92061
42,2012,D3,5.467312
42,2012,D4,5.177449
42,2012,D5,7.022571
42,2012,D6,6.69382
43,2012,D1,5.511321
43,2012,D2,5.670475
43,2012,D3,5.74481
43,2012,D4,5.461699
43,2012,D5,7.310357
43,2012,D6,5.953362
44,2012,D1,5.560361
44,2012,D2,5.564467
44,2012,D3,5.603383
44,2012,D4,5.943358
44,2012,D5,7.12451
44,2012,D6,6.993646
45,2012,D1,6.034218
45,2012,D2,6.551477
45,2012,D3,6.307601
45,2012,D4,6.083885
45,2012,D5,6.896664
45,2012,D6,6.373647
46,2012,D1,5.115296
46,2012,D2,5.209766
46,2012,D3,5.110436
46,2012,D4,6.036859
46,2012,D5,6.658721
46,2012,D6,5.915785
47,2012,D1,5.506535
47,2012,D2,6.184144
47,2012,D3,5.427299
47,2012,D4,6.413208
47,2012,D5,6.71676
47,2012,D6,7.242423
48,2012,D1,4.729096
48,2012,D2,5.002157
48,2012,D3,5.135239
48,2012,D4,5.440953
48,2012,D5,6.743308
48,2012,D6,6.92019
49,2012,D1,5.167522
49,2012,D2,6.668087
49,2012,D3,5.716091
49,2012,D4,6.527493
49,2012,D5,6.566987
49,2012,D6,7.269868
50,2012,D1,4.742527
50,2012,D2,5.798257
50,2012,D3,5.144074
50,2012,D4,6.367458
50,2012,D5,7.075529
50,2012,D6,7.517297
51,2012,D1,4.944427
51,2012,D2,6.423769
51,2012,D3,5.756987
51,2012,D4,6.860387
51,2012,D5,6.950576
51,2012,D6,7.008876
52,2012,D1,5.327354
52,2012,D2,5.528656
52,2012,D3,5.202159
52,2012,D4,7.176839
52,2012,D5,7.126012
52,2012,D6,6.740596
53,2012,D1,5.285373
53,2012,D2,5.805714
53,2012,D3,5.442789
53,2012,D4,6.546582
53,2012,D5,6.917214
53,2012,D6,6.958375
